# 入力読み	許容するakaza出力	corpus期待値	理由
# このファイルに記載されたパターンは、evaluate の BAD カウントから除外される。
# 注意: Wikipedia由来の珍語（艦級等）が正解になるケースは accept に入れないこと。
あいしてもいいことはない	愛してもいいことはない	愛しても良い事は無い	style:無い→ない,良い→いい,事→こと
かるくききかんをおぼえるできごとですね	軽く危機感を覚える出来事ですね	軽く危機感を覚えるできごとですね	style:できごと↔出来事
きょうはなんだかげんきがいい	今日はなんだか元気がいい	今日は何だか元気がいい	style:何だか↔なんだか
なにかのみものとってくる	なにか飲み物取って来る	何か飲み物とってくる	style:何か↔なにか,取って来る↔とってくる
こくないばんもでるよていで	国内版も出る予定で	国内盤も出る予定で	style:盤↔版
しょうせつはおもしろかった	小説は面白かった	小説はおもしろかった	style:おもしろい↔面白い
やみよのからす	闇夜のカラス	闇夜の烏	style:烏↔カラス
てこでもうごかない	てこでも動かない	梃子でも動かない	style:梃子↔てこ
どうしようもないほどみたいなら	どうしようもないほど見たいなら	どうしようもない程見たいなら	style:程↔ほど
でんちがよわくなってきたみたいだと	電池が弱くなってきたみたいだと	電池が弱くなって来たみたいだと	style:来た↔きた
わがくににとどまらず	我が国にとどまらず	わが国にとどまらず	style:わが国↔我が国
はげたいさくをすすめている	禿対策を進めている	ハゲ対策を進めている	style:ハゲ↔禿
あのおかまでいくにはどうすればよいですか？	あの丘まで行くにはどうすればよいですか？	あの丘まで行くにはどうすれば良いですか?	style:良い↔よい
のどごしがよくない	のどごしがよくない	喉ごしが良くない	style:喉ごし↔のどごし+良く↔よく
たががゆるむ	たがが緩む	箍が緩む	style:箍↔たが
ねつをあげる	熱を上げる	熱をあげる	style:あげる↔上げる
やめておいたほうがよいだろう	やめておいた方が良いだろう	止めておいた方が良いだろう	style:止めて↔やめて
だんじてゆるすわけにはいかない	断じて許すわけには行かない	断じて許すわけにはいかない	style:いかない↔行かない
くつしたとずぼんのすそのあいだ	靴下とズボンの裾のあいだ	靴下とズボンの裾の間	style:間↔あいだ
いちにちごとに	一日ごとに	一日毎に	style:毎に↔ごとに
めあどがしょうめつしてもかまいません	メアドが消滅してもかまいません	メアドが消滅しても構いません	style:構い↔かまい
ついにしゅとこうでびゅーですか	ついに首都高デビューですか	遂に首都高デビューですか	style:遂に↔ついに
なげかわしいわがくにのげんじょうなのです	嘆かわしい我が国の現状なのです	嘆かわしいわが国の現状なのです	style:わが国↔我が国
まともににほんごにゅうりょくできるようになるひがくるとはおもえないんですよねぇ	まともに日本語入力できるようになる日が来るとは思えないんですよねぇ	まともに日本語入力できるようになる日がくるとは思えないんですよねぇ	style:くる↔来る
でんわばんごうがでてくるきもしますが	電話番号が出て来る気もしますが	電話番号が出てくる気もしますが	style:てくる↔て来る
したまちじょうちょあふれる	下町情緒あふれる	下町情緒溢れる	style:溢れる↔あふれる
せつだんされているのではないかというかせつをたててみましたが	切断されているのではないかという仮説を立てて見ましたが	切断されているのではないかという仮設を立ててみましたが	style:仮設↔仮説,みた↔見た
くまをやせいのままに	熊を野生のままに	熊を野性のままに	style:野性↔野生
おとのしんどうをずがいこつにつたえてないじでかんじとる	音の振動を頭蓋骨に伝えて内耳で感じ取る	音の振動を頭骸骨に伝えて内耳で感じ取る	style:頭骸骨↔頭蓋骨
こうかいされてももんだいのない	公開されても問題のない	公開されても問題野内	corpus_wrong:問題野内→問題のない
いいきょくは、どんながっきでえんそうしてもきくにたえます。	良い曲は、どんな楽器で演奏しても聴くに耐えます。	いい曲は、どんな楽器で演奏しても聞くに耐えます。	style:良い→いい,聴く→聞く
もみあいがつづいている	もみ合いが続いている	揉み合いが続いている	style:揉み合い→もみ合い
うのまねをするからす	鵜の真似をする烏	鵜のまねをするカラス	style:真似→まね,烏→カラス
はなしがかみあわない	話がかみ合わない	話が噛み合わない	style:噛み合わない→かみ合わない
おおぞらをおよぐこいのぼりにまけないように	大空を泳ぐ鯉幟に負けないように	大空を泳ぐ鯉のぼりに負けないように	style:鯉のぼり→鯉幟
いえとかいしゃのあいだでもってあるいていたら、	家と会社の間で持って歩いていたら、	家と会社のあいだで持って歩いていたら、	style:あいだ→間
そこがしれている	底が知れている	そこが知れている	style:そこ→底
ぶんせつのながさをれいぶんでしめされたものにあわせる	文節の長さを例文で示された物にあわせる	文節の長さを例文で示されたものに合わせる	style:物→もの
のみくいででたごみをぜんぶくるまではこんでもらった	飲み食いで出たゴミを全部車で運んでもらった	飲み食いで出たごみを全部くるまで運んでもらった	style:ゴミ→ごみ,車→くるま
はらどけいがなる	腹時計が鳴る	腹時計がなる	style:なる→鳴る
ひっこしさきはいまのへやよりせまくなるのでたいへんです。	引越先は今の部屋より狭くなるので大変です。	引っ越し先は今の部屋より狭くなるので大変です。	style:引っ越し先→引越先
とっつきがわるい	取っ付きが悪い	とっつきが悪い	style:とっつき→取っ付き
つゆといいつつあめがふらないようなので、	梅雨といいつつ雨が降らないようなので、	つゆと言いつつ雨が降らないようなので、	style:つゆ→梅雨,言いつつ→いいつつ
つつがなくしゅうりょうしました	恙無く終了しました	つつがなく終了しました	style:つつがなく→恙無く
ぜんぜんおぼえてなくてだめぽ	全然覚えてなくてだめぽ	全然覚えてなくて駄目ぽ	style:駄目→だめ
ぶしつよってじゅうでんしてからかえる	部室寄って充電してから帰る	部室よって充電してから帰る	style:よって→寄って
ごらんください	ご覧ください	ごらんください	style:ごらん→ご覧
つかいかたぜんぜんわかってないのですが	使い方全然分かってないのですが	使い方全然わかってないのですが	style:分かる→わかる
なごやでみそかつにしたづつみ	名古屋で味噌カツに舌鼓	名古屋で味噌かつに舌鼓	style:かつ→カツ
ごくいちぶのさいと	極一部のサイト	ごく一部のサイト	style:ごく→極
とんちんかんな	頓珍漢な	とんちんかんな	style:とんちんかん→頓珍漢
どうやらいっぴきのかをいえにまねきいれてしまったようだ。	どうやら一匹の蚊を家に招き入れてしまったようだ。	どうやら一疋のかを家に招き入れてしまったようだ。	style:一疋→一匹,か→蚊
みぎといえばひだり	右と言えば左	右といえば左	style:いえば→言えば
しんぷるすぎて	シンプル過ぎて	シンプルすぎて	style:すぎて→過ぎて
ってかなってないとだめです	ってかなってないとダメです	ってかなってないと駄目です	style:駄目→ダメ
そんなややこしいつみをせおっていきるのはつらい	そんなややこしい罪を背負って生きるのは辛い	そんなややこしい罪を背負って生きるのはつらい	style:つらい→辛い
いかようにもへんこうできるとおもいます	いかようにも変更できると思います	如何様にも変更できると思います	style:如何様→いかよう
そのあとはもうなんでもいいです	その後はもうなんでもいいです	そのあとはもうなんでもいいです	style:あと→後
いまのところはみるよてい	いまのところは見る予定	今のところは見る予定	style:今→いま
じかんをはかればぼとるねっくはみつかりますね	時間を計ればボトルネックは見つかりますね	時間を測ればボトルネックは見つかりますね	style:測れば→計れば
きみではうまくできない	君では上手くできない	君ではうまくできない	style:うまく→上手く
そのかばんをおいてでかけるのはむりだろう	そのカバンを置いて出かけるのは無理だろう	その鞄を置いて出かけるのは無理だろう	style:鞄→カバン
ほしいものがあって	欲しい物があって	ほしいものがあって	style:欲しい→ほしい,物→もの
ちかてつはえらいちかをはしるんですな	地下鉄はエラい地下を走るんですな	地下鉄はえらい地下を走るんですな	style:えらい→エラい
けいきづけに	景気付けに	景気づけに	style:づけ→付け
みんなそうおもうとおもうよ	みんなそう思うと思うよ	みんなそう思うと想うよ	style:想う→思う
せかいからとりのこされるだけなので	世界からとり残されるだけなので	世界から取り残されるだけなので	style:取り→とり
でんきがついていなかったのでとおりすぎて	電気が点いていなかったので通り過ぎて	電気がついていなかったので通り過ぎて	style:ついて→点いて
あわびのかたおもい	鮑の片思い	鮑の片想い	style:片想い→片思い
あすのてんきびみょうですね。	明日の天気微妙ですね。	あすの天気微妙ですね。	style:あす→明日
わたしがとうちゃくするいっしゅうかんぐらいまえ	私が到着する一週間位前	私が到着する一週間ぐらい前	style:ぐらい→位
なんてすてればいいのに	何て捨てればいいのに	なんて捨てればいいのに	style:なんて→何て
とんびにあぶらあげをさらわれる	鳶に油揚げをさらわれる	とんびに油揚げをさらわれる	style:とんび→鳶
かいものだ。。。	買い物だ…	買い物だ。。。	punctuation_style
まわりのひとがすごいだけ	まわりの人が凄いだけ	周りの人がすごいだけ	style:周り→まわり,すごい→凄い
せけんばなしできないとびよういんはつらい	世間話できないと美容院は辛い	世間話できないと美容院はつらい	style:つらい→辛い
したをかむ	舌を噛む	したを噛む	style:した→舌
しながらみるようにはなりました	しながら見るようにはなりました	しながら見るようにはなリマした	corpus_wrong:corpus側の「なリマした」が明らかな誤表記
よしんやつなみにおびえながら	余震や津波に怯えながら	余震や津波におびえながら	style:おびえ/怯え はどちらも自然な表記揺れ
なんならにちようびにおわたししますけど	なんなら日曜日にお渡ししますけど	何なら日曜日にお渡ししますけど	style:なんなら/何なら はどちらも自然な表記
あつめはじめてから	集め始めてから	集めはじめてから	style:はじめて/始めて は補助動詞として両方自然
というかんてんでいえば	という観点で言えば	という観点でいえば	style:いえば/言えば はどちらも自然な表記
そもそもそのだんかいまできてない	そもそもその段階まで来てない	そもそもその段階まできてない	style:きて/来て はどちらも自然な表記
すぎたるはなおおよばざるがごとし	過ぎたるはなお及ばざるが如し	過ぎたるはなお及ばざるがごとし	style:ごとし/如し はどちらも自然な表記
したにいどう	したに移動	下に移動	style:した/下 はどちらも自然な表記
ちきゅうじょうでせいめいがはっせいしたのはたんなるぐうぜんではないかと	地球上で生命が発生したのは単なる偶然ではないかと	地球上で生命が発生したのは単なる偶然では無いかと	style:無い/ない はどちらも自然な表記揺れ
かなりまえからほかのにまけるようなじょうきょうではなかった	かなり前からほかのに負けるような状況ではなかった	かなり前から他のに負けるような状況ではなかった	style:ほか/他 はどちらも自然な表記揺れ
しょうせつもまんがも	小説も漫画も	小説もマンガも	style:マンガ/漫画 はどちらも自然な表記揺れ
もっといっぱいでーたをあつめることができればよいのですが	もっといっぱいデータを集めることができればよいのですが	もっといっぱいデータを集めることができれば良いのですが	style:良い/よい はどちらも自然な表記揺れ
をみていたときもおもったのですが	を見ていた時も思ったのですが	を見ていたときも思ったのですが	style:とき/時 はどちらも自然な表記揺れ
とりやめる	取りやめる	取り止める	style:止める/やめる はどちらも自然な表記
きろくをさくじょしてもよいか	記録を削除しても良いか	記録を削除してもよいか	style:よい/良い はどちらも自然な表記揺れ
いひょうをつく	意表をつく	意表を衝く	style:衝く/つく はどちらも自然な表記
このまちにきたのははじめてだ	この町にきたのは初めてだ	この街に来たのは初めてだ	style:街/町、来た/きた はどちらも自然な表記揺れ
がっちりつかんであうとにした	がっちり掴んでアウトにした	ガッチリ掴んでアウトにした	style:ガッチリ/がっちり はどちらも自然な表記揺れ
きれいにおわってはいますが	綺麗に終わってはいますが	きれいに終わってはいますが	style:きれい/綺麗 はどちらも自然な表記揺れ
どのていどうまくいくかわかりませんね	どの程度うまく行くかわかりませんね	どの程度うまくいくかわかりませんね	style:「いく/行く」は補助動詞的用法で表記揺れ
やせいのこにはけんこうによくない	野生の子には健康によくない	野性の子には健康に良くない	style:「野性/野生」「良くない/よくない」はいずれも表記揺れ
かれからはへんじがまだなかろう	彼からは返事がまだなかろう	彼からは返事がまだ無かろう	style:「無かろう/なかろう」は表記揺れ
ほうこくされていないぱっちのありかをごぞんじのかたは	報告されていないパッチの在処をご存知の方は	報告されていないパッチのありかをご存知の方は	style:「ありか/在処」は表記揺れ。漢字表記の方が稀
みだしなみ	身だしなみ	身嗜み	style:「身嗜み/身だしなみ」は表記揺れ。ひらがな交じりの方が一般的
すでになんめいのかたからか	既に何名の方からか	すでに何名の方からか	style:「すでに/既に」は表記揺れ
といれぐらいひとりでいけ	トイレぐらいひとりで行け	トイレぐらい一人で行け	style:「一人/ひとり」は表記揺れ
そこへもってきて	そこへ持って来て	そこへ持ってきて	style:「きて/来て」は表記揺れ。慣用句的用法でひらがなが自然だが許容範囲
かいがてんをみにいきました。	絵画展を見に行きました。	絵画展を見にいきました。	style:「いきました/行きました」は表記揺れ
このこたえわかるか	この答えわかるか	この答分かるか	style:「答/答え」の送り仮名差、「分かる/わかる」は表記揺れ
とおりかかる	通りかかる	通り掛かる	style:「掛かる/かかる」は表記揺れ
あうんのこきゅう	阿吽の呼吸	呵吽の呼吸	corpus_wrong:「阿吽」が正しい表記。corpus側の「呵吽」は誤り
おもしろいたいとるですが	面白いタイトルですが	おもしろいタイトルですが	style:「おもしろい/面白い」は表記揺れ
げんがく4じゅうそうきょく	弦楽4重奏曲	弦楽四重奏曲	style:「四重奏/4重奏」は数字表記の揺れ
しっかりとこしまでつかる	しっかりと腰まで浸かる	しっかりと腰までつかる	style:「つかる/浸かる」は表記揺れ
おんげんはないようです。	音源はないようです。	音源は無いようです。	style:「無い/ない」は表記揺れ
みどころのある	見どころのある	見所のある	style:「見所/見どころ」は表記揺れ
ごまをする	ごまをする	ゴマをする	style:「ゴマ/ごま」はカタカナ・ひらがなの表記揺れ
ほんのひとにぎりの	ほんのひと握りの	ほんの一握りの	style:「一握り/ひと握り」は表記揺れ
つけがまわってくる	つけが回ってくる	付けが回ってくる	style:「付け/つけ」は表記揺れ
なんかめーるきてましたね	なんかメール来てましたね	なんかメールきてましたね	style:「きて/来て」は表記揺れ
ぜんこくのだいがくなどをちゅうしんにもういをふるう	全国の大学などを中心に猛威を振るう	全国の大学などを中心に猛威をふるう	style:「猛威をふるう」はひらがな表記も「振るう」も両方自然
のうきがせまるなどかいはつがいそがしい	納期が迫るなど開発が忙しい	納期が迫る等開発が忙しい	style:「等」と「など」はどちらも自然な表記
がぞうのるいじせいにめをつけたけんさく	画像の類似性に目を付けた検索	画像の類似性に目をつけた検索	style:「目をつけた」と「目を付けた」はどちらも自然な表記
そんけいのねんさえいだいていた	尊敬の念さえいだいていた	尊敬の念さえ抱いていた	style:「抱いて」と「いだいて」はどちらも自然な表記
どのくらいなのか	どのくらいなのか	どの位なのか	style:「位」と「くらい」はどちらも自然な表記
あーいうことをかいたらきょひはんのうがでるのはしかたないとおもいます	あーいうことを書いたら拒否反応が出るのは仕方ないと思います	あー言うことを書いたら拒否反応が出るのは仕方ないと思います	style:「あー言う」と「あーいう」はどちらも自然な表記
きょうはよいひょうじょうがたくさんみられたとおもいます。	今日は良い表情がたくさん見られたと思います。	今日はよい表情がたくさん見られたと思います。	style:「よい」と「良い」はどちらも自然な表記
むくのがめんどくさいので。	剥くのがめんどくさいので。	剥くのが面倒くさいので。	style:「面倒くさい」と「めんどくさい」はどちらも自然な表記
だめおしをする	ダメ押しをする	駄目押しをする	style:「駄目押し」と「ダメ押し」はどちらも自然な表記
はるやさいのうまみをあじわう	春野菜の旨味を味わう	春野菜のうまみを味わう	style:「うまみ」と「旨味」はどちらも自然な表記
なかだるみ	中だるみ	中弛み	style:「中弛み」と「中だるみ」はどちらも自然な表記
おとこはしばらくのあいだぽかんとくちをあけて	男はしばらくのあいだぽかんと口を開けて	男はしばらくの間ポカンと口を開けて	style:「間」と「あいだ」、「ポカン」と「ぽかん」はどちらも自然
みこしをあげる	御輿をあげる	みこしを上げる	style:「みこし」と「御輿」、「上げる」と「あげる」の表記揺れ。双方向の違い
おなかがすいていないことで	お腹がすいていないことで	お腹が空いていないことで	style:「空いて」と「すいて」はどちらも自然な表記
いまをときめく	今をときめく	今を時めく	style:「時めく」と「ときめく」はどちらも自然な表記
みなさんほとんどぜんいんのこってた	皆さんほとんど全員残ってた	皆さん殆ど全員残ってた	style:「殆ど」と「ほとんど」はどちらも自然な表記
なんていうこまんどを	なんていうコマンドを	何ていうコマンドを	style:「何て」と「なんて」はどちらも自然な表記
とうもろこしのゆでかた	トウモロコシの茹で方	とうもろこしのゆで方	style:とうもろこし/トウモロコシ、ゆで方/茹で方（カタカナ・漢字の表記揺れ）
ふつうにかぶかさがってるからよくわからん	普通に株価下がってるからよくわからん	普通に株価下がってるからよく分からん	style:分からん→わからん（ひらがな/漢字の表記揺れ）
くだらないしつもんばかりでつらかった	くだらない質問ばかりで辛かった	下らない質問ばかりで辛かった	style:下らない→くだらない（ひらがな/漢字の表記揺れ）
きょうのゆうしょくはひとりでたべます	今日の夕食はひとりで食べます	今日の夕食は一人で食べます	style:一人→ひとり（ひらがな/漢字の表記揺れ）
おへんじこなかったんだよなぁ	御返事こなかったんだよなぁ	お返事来なかったんだよなぁ	style:お返事→御返事、来なかった→こなかった（表記揺れ）
つぎでうまくいくことをかくにんしました	次でうまく行くことを確認しました	次でうまくいくことを確認しました	style:うまくいく→うまく行く（補助動詞のひらがな/漢字の表記揺れ）
あとのことはどうでもいいですよ	あとのことはどうでもいいですよ	後のことは同でもいいですよ	corpus_wrong:corpus側が「同でもいい」（正しくは「どうでもいい」）
ふぁんのあいだではにんきがある	ファンのあいだでは人気がある	ファンの間では人気がある	style:間→あいだ（ひらがな/漢字の表記揺れ）
ねたてきにはけっこうおもしろかったですね	ネタ的には結構面白かったですね	ネタ的には結構おもしろかったですね	style:おもしろかった→面白かった（ひらがな/漢字の表記揺れ）
おやのこころこしらず	親の心子しらず	親の心子知らず	style:知らず→しらず（ひらがな/漢字の表記揺れ）
まんがきっさになんどかいくおかねでかえる	漫画喫茶に何度か行くお金で買える	漫画喫茶に何度か行くお金で変える	corpus_wrong:corpus側が「変える」（漫画喫茶のお金で「買える」が正しい）
さいしょからわかっていることだった	最初からわかっていることだった	最初から分かっている事だった	style:分かっている事→わかっていること（ひらがな/漢字の表記揺れ）
にしゅうかんだとりょうしゅうしょうはもっていけないですね	二週間だと領収証は持って行けないですね	二週間だと領収証は持っていけないですね	style:持っていけない→持って行けない（補助動詞の表記揺れ）
ひょうじゅんとひひょうじゅんでわけたのですよ	標準と非標準で分けたのですよ	標準と非標準でわけたのですよ	style:わけた→分けた（ひらがな/漢字の表記揺れ）
がんけんきゅうのぶんやでせかいさいせんたん	がん研究の分野で世界最先端	癌研究の分野で世界最先端	style:癌→がん（表記スタイルの差）
りりーすだなんだと	リリースだなんだと	リリースだ何だと	style:何だ→なんだ（ひらがな/漢字の表記揺れ）
ぐるっとまわってこない	ぐるっと回って来ない	グルッと回って来ない	style:グルッと→ぐるっと（カタカナ/ひらがなの表記揺れ）
ごくいちぶならもんだいない	ごく一部なら問題無い	ごく一部なら問題ない	style:ない→無い（表記スタイルの差）
べつにびびりませんよ	別にビビリませんよ	別にビビりませんよ	style:ビビり→ビビリ（カタカナ送り仮名の差）
めをこらしてみる	目を凝らして見る	目を凝らしてみる	style:補助動詞「みる→見る」
まぁたいしたみすではないとおもいますけど	まぁ大したミスではないと思いますけど	まぁたいしたミスではないと思いますけど	style:たいした→大した（ひらがな/漢字の表記揺れ）
みかけによらず	見かけによらず	見掛けによらず	style:見掛け→見かけ（送り仮名の差）
こたえをききたいわけじゃありません。	答えを聞きたい訳じゃありません。	答えを聞きたいわけじゃありません。	style:わけ→訳（ひらがな/漢字の表記揺れ）
それはじゅうぶんすぎるりゆうですね	それは十分すぎる理由ですね	それは充分すぎる理由ですね	style:充分→十分（同義漢字の差）
ぜんあるばむりみっくす＆りますたーしてはつばいしてほしいのですけど	全アルバムリミックス＆リマスターして発売してほしいのですけど	全アルバムリミックス&リマスターして発売してほしいのですけど	style:全角＆→半角&の差
にんげんがなく	人間がなく	人間が泣く	style:泣く→なく（ひらがな/漢字の表記揺れ）
がつかえないのはつらい	が使えないのはつらい	が使えないのは辛い	style:辛い→つらい（ひらがな/漢字の表記揺れ）
めんどくさければやめていただければと	面倒臭ければやめていただければと	面倒くさければやめていただければと	style:面倒くさければ→面倒臭ければ（送り仮名の差）
なつをおもわせるひざしに	夏を思わせる日差しに	夏を思わせる陽射しに	style:陽射し→日差し（表記スタイルの差）
たぶんさいほうそうがあるとおもうので	多分再放送があると思うので	たぶん再放送があると思うので	style:たぶん→多分（ひらがな/漢字の表記揺れ）
ひつじがなく	羊がなく	羊が鳴く	style:鳴く→なく（ひらがな/漢字の表記揺れ）
うごかないそふとがぞくぞくでてくるよりましかもしれないけど	動かないソフトが続々出てくるよりマシかもしれないけど	動かないソフトが続々出てくるよりましかもしれないけど	style:まし→マシ（ひらがな/カタカナの差）
ひとりでやってるならかまわない	ひとりでやってるなら構わない	一人でやってるなら構わない	style:一人→ひとり（ひらがな/漢字の表記揺れ）
くまなくさがす	くまなく探す	隈なく探す	style:隈なく→くまなく（ひらがな/漢字の表記揺れ）
きゅうばしのぎ	急場しのぎ	急場凌ぎ	style:凌ぎ→しのぎ（ひらがな/漢字の表記揺れ）
れこーどがいしゃっていうけどれこーどみたことあるんですか？	レコード会社っていうけどレコード見たことあるんですか？	レコード会社って言うけどレコード見たことあるんですか?	style:全角？→半角?＋って言う→っていう（表記スタイルの差）
100％をこえるふかにたえる	100％を超える負荷に耐える	100%を越える負荷に耐える	style:越える→超える＋全角％→半角%（表記スタイルの差）
1にちさいちょう8じかん	１日最長８時間	1日最長8時間	style:半角数字→全角数字（数値複合語LMスコア改善による表記変化）
ごご3じからのぼったひがいちにち	午後3時から登った日が1日	午後3時から登った日が一日	style:一日→1日（漢数字/アラビア数字の表記差）
さいしょ5ふんぐらいみてたけどねてしまった	最初５分ぐらい見てたけど寝てしまった	最初5分ぐらい見てたけど寝てしまった	style:半角数字→全角数字（数値複合語LMスコア改善による表記変化）
なんてことをかんがえていたいちにちでした	なんてことを考えていた1日でした	なんてことを考えていた一日でした	style:一日→1日（漢数字/アラビア数字の表記差）
よていより1にちおくれでりりーすされました	予定より１日遅れでリリースされました	予定より1日遅れでリリースされました	style:半角数字→全角数字（数値複合語LMスコア改善による表記変化）
